allocator	mean	median	stddev
libc	1.1464	1.158	0.03364282984530287
mesh0n	1.0942	1.099	0.009474175425861606
mesh1y	1.3006	1.305	0.00859302042357635
mesh2y	1.3105999999999998	1.311	0.007499333303701061
jemalloc	1.1797999999999997	1.175	0.010609429767899909
mesh0y	1.2504000000000002	1.254	0.009520504188329499
