allocator	mean	median	stddev
mesh2y	195.8890625	209.79296875	17.7920945346434
jemalloc	137.9890625	138.03515625	0.1368726812018198
mesh1y	195.9390625	210.42578125	17.873447949446195
libc	268.109375	268.1015625	0.08769509500251425
mesh0n	296.54375	296.5	0.0902808659995295
mesh0y	200.8671875	200.9375	0.33705301708800206
