valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,213.701261,45.718027,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,214.577438,45.531348,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,214.228841,45.605437,1,S,,,,,,"ref iteration #3"
401.bzip2,9650,324.333255,29.753347,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,323.715013,29.810171,1,S,,,,,,"ref iteration #2"
401.bzip2,9650,323.493136,29.830617,0,S,,,,,,"ref iteration #3"
403.gcc,8050,193.892673,41.517814,0,S,,,,,,"ref iteration #1"
403.gcc,8050,195.436489,41.189852,0,S,,,,,,"ref iteration #2"
403.gcc,8050,195.404638,41.196566,1,S,,,,,,"ref iteration #3"
429.mcf,9120,199.53659,45.705903,1,S,,,,,,"ref iteration #1"
429.mcf,9120,200.606563,45.462122,0,S,,,,,,"ref iteration #2"
429.mcf,9120,197.412165,46.197761,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,350.040004,29.968003,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,350.763254,29.906211,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,350.524541,29.926578,1,S,,,,,,"ref iteration #3"
456.hmmer,9330,280.506979,33.261205,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,280.630021,33.246621,1,S,,,,,,"ref iteration #2"
456.hmmer,9330,281.262282,33.171885,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,384.201916,31.493856,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,384.368233,31.480229,1,S,,,,,,"ref iteration #2"
458.sjeng,12100,384.660662,31.456297,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,250.925723,82.574237,0,S,,,,,,"ref iteration #1"
462.libquantum,20720,249.177697,83.15351,1,S,,,,,,"ref iteration #2"
462.libquantum,20720,248.828187,83.270309,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,350.2857,63.177001,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,348.594957,63.48342,0,S,,,,,,"ref iteration #2"
