allocator	mean	median	stddev
mesh2y	197.0	198.3	2.9
libc	236.0	236.0	0.1
mesh1n	239.7	241.6	2.9
mesh0n	240.7	242.6	3.7
mesh0y	237.7	237.8	0.2
jemalloc	236.1	236.1	0.3
mesh1y	198.2	198.1	0.3
mesh2n	237.5	237.3	3.9
