mesh	60.48	289525760	174157824	82	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	65.64	315531264	207192064	277	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
