benchmark	allocator	runtime	runtime_relative	runtime_median	mem_max_rel	mem_median_rel	mem_mean_rel	mem_stddev_rel	mem_max_mb	mem_median_mb	mem_mean_mb	mem_stddev_mb
400.perlbench	glibc	208.698348	1.0		1.0	1.0	1.0	1.0	663.625	210.9921875	302.2820609840509	197.4228148840045
400.perlbench	jemalloc	205.663612	0.9854587445033345		0.9262749576191374	0.936146184322583	0.8084992064349381	0.6937497696580495	614.69921875	197.51953125	244.39480642512268	136.96203235102186
400.perlbench	mesh0n	205.729035	0.985772225662275		0.8686723017517424	1.0767949050246233	0.8625221880713501	0.6353800027964863	576.47265625	227.1953125	260.72498465468084	125.43850867308899
400.perlbench	mesh0y	208.111738	0.9971891967252179		0.8524439630815596	1.0139593438738106	0.8243215794603177	0.6245649767785076	565.703125	213.9375	249.1776259528929	123.3033757935759
400.perlbench	mesh1y	211.937109	1.0155188626600915		0.8501601054812582	1.0106916725293442	0.8224275320866814	0.624058360241414	564.1875	213.248046875	248.60508940918868	123.20335813075607
400.perlbench	mesh2y	214.228841	1.0264999366454015		0.851119561122622	1.010663901951346	0.8222643838877373	0.6250452184410219	564.82421875	213.2421875	248.55577263536603	123.39818645441403
401.bzip2	glibc	323.577519	1.0		1.0	1.0	1.0	1.0	851.78125	846.44140625	672.6184345822099	283.1020081856272
401.bzip2	jemalloc	323.476817	0.9996887855487884		0.9972713431412115	1.0001107578141946	0.9974808696535763	1.0012237934115058	849.45703125	846.53515625	670.9240210720899	283.4484665580288
401.bzip2	mesh0n	323.670717	1.0002880237177418		1.0102909344388598	1.001601373396896	1.0057488950110773	1.0022918710759068	860.546875	847.796875	676.4852473451383	283.75084148971894
401.bzip2	mesh0y	323.736626	1.0004917121575434		1.010203800858495	1.0014952304916263	1.006098773555323	1.0027613088283005	860.47265625	847.70703125	676.7205821038627	283.88374026013975
401.bzip2	mesh1y	323.817372	1.0007412535974107		1.0103001063946877	1.001541379580874	1.004948981215122	1.0045089945515446	860.5546875	847.74609375	675.947210579902	284.3785135980675
401.bzip2	mesh2y	323.715013	1.0004249182712845		1.010345966173827	1.0016567523039932	1.005840712346393	1.0030396911296207	860.59375	847.84375	676.5470053774858	283.9625508486869
403.gcc	glibc	184.304288	1.0		1.0	1.0	1.0	1.0	884.7109375	177.2109375	225.72805813626127	148.93413870394212
403.gcc	jemalloc	180.290311	0.9782209245180448		0.9770625998957992	0.8971696865493982	0.8927210092243372	0.9628446140690223	864.41796875	158.98828125	201.512179869653	143.4004333020994
403.gcc	mesh0n	189.751487	1.0295554653617174		0.9715523255300549	0.9224860027333245	0.9345487028483778	0.9652514211188336	859.54296875	163.474609375	210.95386392772616	143.7588890370896
403.gcc	mesh0y	194.654519	1.0561583841174655		0.9670089983486838	0.8984702199885377	0.9176096144944639	0.9702353261083881	855.5234375	159.21875	207.13023640699862	144.5011626340912
403.gcc	mesh1y	194.270686	1.0540757792895192		0.9621698471428698	0.898183661773134	0.9155894643593002	0.9668981792549036	851.2421875	159.16796875	206.67423183984442	144.00414754173892
403.gcc	mesh2y	195.404638	1.0602283870899412		0.9667926494352852	0.896442269541066	0.9131231240782607	0.9602542233075171	855.33203125	158.859375	206.11750963750214	143.01463568512796
429.mcf	glibc	196.457005	1.0		1.0	1.0	1.0	1.0	1680.4765625	1680.2265625	1619.9473694801013	298.4274313696259
429.mcf	jemalloc	197.69393	1.0062961613407473		1.0001557407915351	1.0001371652818398	0.9987743838985029	1.0155918024891086	1680.73828125	1680.45703125	1617.9619359004887	303.0804529368731
429.mcf	mesh0n	198.115254	1.0084407730841667		1.0011854896072079	1.0011763666544224	1.020135634413091	0.6855856679121786	1682.46875	1682.203125	1652.566037480401	204.5975698588608
429.mcf	mesh0y	196.968217	1.0026021571488377		1.0011901385860595	1.0011507934662829	1.0197142791194658	0.6904397896333355	1682.4765625	1682.16015625	1651.8834640808764	206.04617293566116
429.mcf	mesh1y	198.485597	1.0103258827548551		1.001204085522615	1.0011507934662829	1.0193399519964084	0.6979029049377599	1682.5	1682.16015625	1651.2770738425545	208.27337126597587
429.mcf	mesh2y	199.53659	1.0156756181842432		1.0012133834803185	1.001206589513133	1.0196377750449241	0.6932435468081021	1682.515625	1682.25390625	1651.7595315065682	206.8828909875109
445.gobmk	glibc	350.892576	1.0		1.0	1.0	1.0	1.0	27.1875	26.45703125	26.424055047672773	1.3367368368151804
445.gobmk	jemalloc	349.11338	0.9949295136982322		1.0172413793103448	1.0091539937989074	1.0107912322960493	1.0196295367240342	27.65625	26.69921875	26.709203163895804	1.3629763616438133
445.gobmk	mesh0n	350.401654	0.9986009336373078		1.0557471264367817	1.0596486047541709	1.059082529056652	1.122474429586764	28.703125	28.03515625	27.985255047821468	1.5004529184117348
445.gobmk	mesh0y	350.373639	0.9985210943875883		1.0557471264367817	1.0569909936512623	1.057126984899	1.0997291638439826	28.703125	27.96484375	27.93358164135152	1.4700484838302086
445.gobmk	mesh1y	350.618419	0.9992186868040206		1.053448275862069	1.0590580245090802	1.0581542094604466	1.1017208119717579	28.640625	28.01953125	27.960725079709505	1.4727107932485797
445.gobmk	mesh2y	350.524541	0.9989511462334273		1.0557471264367817	1.0589103794478074	1.059519827124128	1.0872861826927536	28.703125	28.015625	27.996810236028697	1.4534154925655638
456.hmmer	glibc	279.756375	1.0		1.0	1.0	1.0	1.0	25.49609375	3.9609375	9.995895828535238	9.460307760843584
456.hmmer	jemalloc	281.182392	1.0050973530093819		1.0111843113222	1.0710059171597632	1.025198465214232	0.9948481392525154	25.78125	4.2421875	10.24777706185567	9.41156957263137
456.hmmer	mesh0n	281.176834	1.0050774857230689		2.470047495020683	2.8303747534516766	2.1056731863348737	1.6456751543703818	62.9765625	11.2109375	21.048089819543264	15.568593434717586
456.hmmer	mesh0y	281.32674	1.0056133305273203		2.5829630764516622	2.8905325443786984	2.228227733192163	1.802929450960173	65.85546875	11.44921875	22.27313230324207	17.056267477171986
456.hmmer	mesh1y	281.295033	1.0054999926275139		2.5890914662172513	2.8954635108481264	2.2335751589659427	1.8048509893410065	66.01171875	11.46875	22.326584614227595	17.074445821628945
456.hmmer	mesh2y	280.630021	1.0031228814714233		2.5906235636586485	2.9270216962524653	2.234846764364701	1.804197486263713	66.05078125	11.59375	22.33929544932859	17.06826348139509
458.sjeng	glibc	383.896423	1.0		1.0	1.0	1.0	1.0	176.2265625	175.8515625	175.80655775938996	3.6746929699536546
458.sjeng	jemalloc	387.829565	1.0102453207801834		1.0007093141818504	1.0011550935181484	1.0010177388070938	0.9561650800796526	176.3515625	176.0546875	175.98548291576327	3.5136130978838724
458.sjeng	mesh0n	384.307517	1.0010708461328903		1.002682094250122	1.0029765871429206	1.0027329862058831	0.9633519092468267	176.69921875	176.375	176.28703465665018	3.540022488500745
458.sjeng	mesh0y	384.574852	1.0017672188625732		1.0021944407500998	1.0030654404904704	1.0030999584883729	0.962116673925046	176.61328125	176.390625	176.35155079042778	3.535483377947559
458.sjeng	mesh1y	384.221004	1.0008454910766387		1.0020614443410027	1.0032653605224577	1.0029184010557861	1.0195876601878229	176.58984375	176.42578125	176.31963180316907	3.7466716071436887
458.sjeng	mesh2y	384.368233	1.001229003376257		1.0016402890455292	1.0027322404371584	1.0025351047165822	0.9618056037874962	176.515625	176.33203125	176.25224579317188	3.5343402906999426
462.libquantum	glibc	251.890848	1.0		1.0	1.0	1.0	1.0	96.53125	65.109375	65.05281980970001	3.463342103663521
462.libquantum	jemalloc	251.927109	1.000143955210314		1.0073648429912594	1.0034797216222702	1.0017475124922506	1.0283901915321865	97.2421875	65.3359375	65.16650042497359	3.5616670493280136
462.libquantum	mesh0n	250.745161	0.9954516529318286		1.343355454839754	1.4979001679865611	1.490259331716123	1.6949352119202232	129.67578125	97.52734375	96.94557177585291	5.870140482425161
462.libquantum	mesh0y	250.186983	0.9932357010446048		1.3440029135642604	1.4991000719942404	1.4905991897552633	1.7333190874197848	129.73828125	97.60546875	96.96768049963397	6.003076974544571
462.libquantum	mesh1y	250.001948	0.9925011169917535		1.342991259307219	1.4977201823854092	1.4897601550125699	1.7317361210057947	129.640625	97.515625	96.91309892370346	5.997594620314314
462.libquantum	mesh2y	249.177697	0.9892288623364355		1.3439219812236969	1.498320134389249	1.490100111664122	1.716852559654192	129.73046875	97.5546875	96.9352140625	5.94604775563285
464.h264ref	glibc	360.008955	1.0		1.0	1.0	1.0	1.0	64.1015625	63.8984375	53.2009641251882	17.764308841142032
464.h264ref	jemalloc	356.545458	0.9903794143120689		0.9605118829981718	0.9606920161388923	0.9361586891045786	1.048320209947115	61.5703125	61.38671875	49.804544834535896	18.622683973911407
